"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"9","3200","20","10","210","0.34","20","17","0.22","0.05","1.7000000000000002","11","3.7","20","false","3","350","260","10","622.2502554760916","10","750.6993202154971"
"9","4250","20","17","30","0.08","20","11","0.29","0.14","3.9000000000000004","0","6.2","16","true","3","340","350","10","617.6656220340623","10","736.749039545082"
"9","8920","20","15","415","0.59","20","6","0.17","0.02","5.9","44","2.9000000000000004","21","true","4","70","340","10","607.3491542014497","10","811.1112268225891"
"10","10","20","4","395","0.84","20","17","0.47000000000000003","0","9.6","4","4.2","33","false","5","390","260","10","836.6175515025992","10","721.6220800240646"
"10","20","20","16","435","0.02","20","13","0.14","0.08","3.9000000000000004","1","0.9","16","true","1","180","300","10","725.7601524274342","10","814.4991512557993"
"10","40","20","8","340","0.33","20","19","0.6900000000000001","0.05","3.7","2","0.2","45","true","3","210","125","10","722.0855707338458","10","711.6915505280874"
"10","60","20","7","300","0.38","20","15","0.33","0.15","4.9","58","5.9","13","false","5","200","85","10","676.724406399155","10","738.3933850579226"
"10","180","20","6","90","0.64","20","14","0.45","0.1","9.1","41","4.1000000000000005","28","false","3","360","300","10","665.8021820869054","10","706.990126967987"
"10","500","20","12","95","1","20","13","0.07","0.12","7.4","8","5.7","30","true","4","100","415","10","636.8188102419768","10","745.3190547014993"
"10","1480","20","17","0","0.15","20","0","0.31","0.08","4.9","52","1.3","38","true","2","200","350","10","617.2632316886838","10","744.947448411808"
"10","10500","20","6","425","0.74","20","17","0.09","0.07","3","3","3","38","true","3","260","235","10","611.4749023232167","10","790.422763473926"
