"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"3","280","20","4","285","0.42","100","17","0.22","0.15","7.1000000000000005","15","3.7","43","true","3","230","80","99","10","99"
"3","290","89","8","260","0.76","74","3","0.9","0.06","8.600000000000001","41","0.8","3","true","4","210","220","99","10","99"
"3","300","37","2","380","0.56","53","13","0.61","0.18","6.7","48","1.4000000000000001","31","true","1","150","280","99","10","99"
"3","310","35","15","345","0.72","58","3","0.77","0.01","2.1","15","1","41","true","3","180","420","99","10","99"
"3","320","69","19","310","0.3","85","20","0.67","0.12","9.1","24","2","5","true","4","130","415","99","10","99"
"3","330","91","5","300","0.24","25","2","0.06","0.05","9.9","20","2.2","3","false","3","90","250","99","10","99"
"3","340","1","2","150","0.45","26","13","0.72","0.13","5.2","25","2.7","8","true","4","290","90","99","10","99"
"3","350","46","3","315","0.79","14","11","0.19","0.14","3.7","18","2.9000000000000004","17","false","3","290","110","99","10","99"
"3","360","21","17","270","0.91","62","1","0.37","0.02","8.9","50","6.2","25","false","1","320","240","99","10","99"
"3","370","65","19","470","0.33","62","1","0.23","0.04","7.6000000000000005","25","1.4000000000000001","45","true","1","90","130","99","10","99"
"3","380","11","8","80","0.72","58","7","0.52","0.03","8","41","6.300000000000001","12","true","5","90","265","99","10","99"
"3","390","65","14","105","0.26","74","0","0.67","0.18","6.5","17","5.6000000000000005","38","false","5","290","225","99","10","99"
"3","400","97","20","85","0.5700000000000001","3","5","0.6","0.05","4.1","41","0.8","11","false","3","140","395","99","10","99"
"3","410","9","4","100","0.5","31","1","0.64","0.17","1.5","16","3.1","41","false","4","380","215","99","10","99"
"3","420","12","8","280","0.97","46","18","0.37","0.03","6.2","10","2.5","30","false","5","400","220","99","10","99"
"3","430","29","5","125","0.9400000000000001","26","14","0.64","0.03","8.600000000000001","45","0.6000000000000001","26","false","4","40","105","99","10","99"
"3","440","5","8","500","0.6","48","4","0.38","0.03","3.6","30","4.800000000000001","45","false","3","320","85","99","10","99"
"3","450","37","10","75","0.5","17","8","0.9400000000000001","0.02","8.5","6","3.5","0","true","4","230","490","99","10","99"
"3","460","57","13","425","0.5700000000000001","8","4","0.6900000000000001","0.05","1.4","7","4","8","false","4","220","180","99","10","99"
"3","470","59","11","45","0.62","21","1","0.75","0.05","10","18","4.800000000000001","21","false","1","210","460","99","10","99"
"3","480","9","0","160","0.91","60","16","0.37","0.17","2.7","20","6.1000000000000005","36","true","3","120","135","99","10","99"
"3","490","15","3","120","0.4","4","15","0.76","0.05","8.100000000000001","2","4","1","true","3","100","405","99","10","99"
"3","500","2","13","465","0.31","61","7","0.79","0","9.6","59","1.8","6","true","4","0","60","99","10","99"
"4","10","77","20","335","0.72","35","8","0.17","0.15","8.100000000000001","53","2.1","8","false","4","340","180","99","10","99"
"4","20","26","8","230","0.28","31","0","0.7000000000000001","0.05","7.4","25","2.5","20","true","4","80","485","99","10","99"
"4","30","57","17","205","0.1","22","19","0.07","0.03","3.7","55","1.1","18","false","4","390","470","99","10","99"
"4","40","81","10","170","0.32","25","3","0.86","0.14","7.300000000000001","31","5","22","false","1","240","405","99","10","99"
"4","50","8","19","300","0.54","97","2","0.56","0.17","5.800000000000001","14","6.1000000000000005","10","true","5","50","175","99","10","99"
