"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"3","40","53","1","395","0.26","2","14","0.15","0.16","10","26","0.7000000000000001","23","false","3","370","455","748.3727055800393","10","693.7123633507694"
"3","50","76","15","450","0.22","44","19","0.8200000000000001","0.15","4.1","44","2.2","28","true","3","340","60","694.207504258259","10","693.7123633507694"
"3","60","84","10","300","1","3","4","0.3","0.07","3.1","6","3.1","0","false","5","230","375","784.3859999516286","10","693.7123633507694"
"3","70","17","12","470","0.78","40","17","0.52","0.12","9.5","29","0.4","18","true","4","250","225","714.9008060686134","10","693.7123633507694"
"3","80","77","17","355","0.9500000000000001","69","6","0.8200000000000001","0.15","4.2","39","5.5","3","false","5","400","60","765.3706008406796","10","693.7123633507694"
"3","90","98","19","450","0.3","4","0","0.4","0.08","3.9000000000000004","45","1.7000000000000002","4","true","4","320","105","699.58373584579","10","693.7123633507694"
"3","100","33","9","280","0.9400000000000001","20","19","0.15","0.15","4.9","54","6.5","2","false","1","90","500","759.6373661142243","10","693.7123633507694"
"3","110","3","13","420","0.6","58","9","0.39","0.15","8.7","49","0","43","false","4","110","295","774.955551684971","10","693.7123633507694"
"3","120","70","17","110","0.79","31","0","0.17","0.05","5.7","51","1","30","false","4","30","325","780.8593106638382","10","693.7123633507694"
"3","130","72","0","55","0.65","34","1","0.61","0.12","1.2","44","4.1000000000000005","28","true","3","0","35","691.433549411873","10","691.433549411873"
"3","140","37","11","55","0.72","16","6","0.73","0.01","5.2","42","5.300000000000001","19","true","1","270","110","717.2252773883105","10","691.433549411873"
"3","150","69","14","310","0.35000000000000003","18","18","0.37","0.04","4.9","11","0.5","29","false","1","0","10","777.1113003896176","10","691.433549411873"
"3","160","82","0","185","0.61","19","19","0.2","0.18","5.9","28","2.2","45","true","4","160","315","788.8472821055213","10","691.433549411873"
"3","170","11","11","455","0.37","68","0","0.19","0.15","8.2","37","6.2","23","false","2","70","340","752.4694588221798","10","691.433549411873"
"3","180","1","14","170","0.22","20","4","0.64","0.12","2.1","4","2.7","28","false","2","250","265","742.9594507991903","10","691.433549411873"
"3","190","1","14","20","0.26","98","0","0.18","0.02","9.3","3","5.2","35","false","1","190","455","781.4679248524659","10","691.433549411873"
"3","200","64","11","450","0.8300000000000001","65","3","0.34","0.15","1.2","34","1.3","17","false","4","110","135","815.471472529538","10","691.433549411873"
"3","210","37","4","435","0.67","7","5","0.53","0.16","8.7","37","0.30000000000000004","15","true","4","170","160","778.1987933239513","10","691.433549411873"
"3","220","51","18","75","0.74","72","3","0.8200000000000001","0.18","3","41","5.6000000000000005","15","false","4","270","365","705.7624725626295","10","691.433549411873"
"3","230","42","10","410","0.66","19","5","0.67","0.1","6.7","35","0.30000000000000004","0","false","2","80","180","793.4447041581305","10","691.433549411873"
"3","240","40","8","165","0.53","82","17","0.14","0.1","6.7","3","2.6","8","true","3","0","80","763.568441971754","10","691.433549411873"
